,index,Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP.1,PTS.1,TRB.1,AST.1,WS,WS/48,BPM,VORP,College SOS,DARKO,LEBRON,sos,Seasons,Wins Added,WA / Season,Career LEBRON,Career O-LEBRON,Career D-LEBRON
314,422,3,3,WAS,Bradley Beal,Florida,9,605,20979,13303,2452,2436,0.456,0.377,0.82,34.7,22,4.1,4,47.4,0.108,1.8,19.9,,,,7.33,9,46.28246874,5.142496527,0.992670226,1.866486504,-0.873816278
315,423,4,4,CLE,Dion Waiters,Syracuse,8,419,11835,5505,1108,1163,0.412,0.346,0.694,28.2,13.1,2.6,2.8,8.8,0.036,-2.1,-0.4,,,,8.4,8,9.259906392,1.157488299,-1.129912713,-0.29489197,-0.835020743
316,424,5,5,SAC,Thomas Robinson,Kansas,5,313,4204,1528,1507,190,0.47,0,0.505,13.4,4.9,4.8,0.6,4.6,0.053,-3.5,-1.6,,,,8.6,5,3.180170299,0.63603406,-1.169317436,-1.229210921,0.059893485
317,425,6,6,POR,Damian Lillard,Weber State,9,682,24779,16815,2856,4514,0.439,0.375,0.893,36.3,24.7,4.2,6.6,92.3,0.179,4.8,42.6,,,,-2.21,9,90.03046232,10.0033847,3.169884963,4.346492296,-1.176607333
318,426,7,7,GSW,Harrison Barnes,UNC,9,670,21176,9301,3385,1190,0.452,0.377,0.8,31.6,13.9,5.1,1.8,38.8,0.088,-1,5.5,,,,8.61,9,23.60661923,2.622957693,-0.636435051,-0.457913584,-0.178521467
319,427,8,8,TOR,Terrence Ross,Washington,9,607,15178,6896,1746,725,0.419,0.367,0.835,25,11.4,2.9,1.2,23.1,0.073,-0.7,5.1,,,,6.51,9,15.93351187,1.770390208,-0.732571606,0.098195324,-0.830766931
320,428,9,9,DET,Andre Drummond,UConn,9,645,19832,9358,8839,872,0.538,0.135,0.47,30.7,14.5,13.7,1.4,62.6,0.152,1.3,16.6,,,,8.07,9,57.64092948,6.40454772,2.045672212,0.201681614,1.843990598
321,429,10,10,NOH,Austin Rivers,Duke,9,588,14362,5338,1245,1348,0.418,0.35,0.646,24.4,9.1,2.1,2.3,12.7,0.043,-3,-3.6,,,,8.4,9,4.847881817,0.538653535,-1.803075184,-0.404897041,-1.398178143
322,430,11,11,POR,Meyers Leonard,Illinois,9,447,7158,2502,1737,395,0.482,0.39,0.809,16,5.6,3.9,0.9,15.5,0.104,-1.4,1,,,,9.55,9,3.020439609,0.335604401,-1.674514968,-1.465060552,-0.209454417
323,431,12,12,HOU,Jeremy Lamb,UConn,9,517,10961,5395,1919,823,0.444,0.344,0.858,21.2,10.4,3.7,1.6,25.5,0.112,0.8,7.6,,,,9.25,9,16.82955818,1.869950909,-0.009205593,0.128433791,-0.137639385
324,432,13,13,PHO,Kendall Marshall,UNC,4,160,3083,802,253,779,0.399,0.37,0.611,19.3,5,1.6,4.9,1,0.015,-3.5,-1.1,,,,8.61,4,2.13164958,0.532912395,-1.268377079,-0.111373917,-1.157003162
325,433,14,14,MIL,John Henson,UNC,8,445,8752,3383,2368,496,0.54,0.25,0.568,19.7,7.6,5.3,1.1,20.7,0.113,-0.4,3.4,,,,9.02,8,11.17659112,1.39707389,-0.396261234,-1.275441521,0.879180288
326,434,15,15,PHI,Maurice Harkless,St. John's,9,574,13156,4042,2086,549,0.475,0.321,0.621,22.9,7,3.6,1,22.5,0.082,-0.7,4.3,,,,6.98,9,12.45859694,1.384288549,-0.886998982,-1.18621619,0.299217208
327,435,16,16,HOU,Royce White,Iowa State,1,3,9,0,0,0,0,,,3,0,0,0,0,-0.121,-16.9,0,,,,7.32,1,0.014057397,0.014057397,0.054337838,-0.003687364,0.058025202
328,436,17,17,DAL,Tyler Zeller,UNC,8,414,7254,2873,1820,367,0.508,0.286,0.764,17.5,6.9,4.4,0.9,17.1,0.113,-2,0,,,,8.85,8,4.240786259,0.530098282,-1.431486617,-1.462590469,0.031103851
329,437,18,18,HOU,Terrence Jones,Kentucky,6,234,5562,2431,1334,238,0.501,0.297,0.621,23.8,10.4,5.7,1,14.7,0.127,0.5,3.6,,,,8.42,6,7.291062188,1.215177031,-0.351576285,-0.42539537,0.073819086
330,438,19,19,ORL,Andrew Nicholson,St. Bonaventure,5,285,4080,1700,857,126,0.467,0.321,0.773,14.3,6,3,0.4,3.8,0.045,-3.6,-1.6,,,,1.35,5,1.398760449,0.27975209,-1.789630028,-1.839991164,0.050361136
331,440,21,21,BOS,Jared Sullinger,Ohio State,5,269,6532,2893,2006,477,0.436,0.272,0.723,24.3,10.8,7.5,1.8,15.3,0.113,-0.4,2.7,,,,8.73,5,12.89572144,2.579144288,0.643913979,-0.088533498,0.732447477
332,441,22,22,BOS,Fab Melo,Syracuse,1,6,36,7,3,0,0.5,,0.25,6,1.2,0.5,0,0,0.021,-7.6,-0.1,,,,8.4,1,0.037404313,0.037404313,-0.745935325,-0.432055517,-0.313879808
