,index,Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%_x,MP.1,PTS.1,TRB.1,AST.1,WS,WS/48,BPM,VORP,College SOS,DARKO,LEBRON,sos,nba_id,Team,DPM,O-DPM,D-DPM,Box DPM,Box O-DPM,Box D-DPM,FGA/100,FG2%,FG3A/100,FG3%,FG3ARate%,FTA/100,FT%_y,FTARate%,Usg%,Reb/100,Ast/100,Ast%,Blk/100,Blk%,Tov/100
141,191,12,12,DET,Luke Kennard,Duke,4,227,5054,2133,618,457,0.449,0.413,0.86,22.3,9.4,2.7,2,9.7,0.092,-0.7,1.6,,,,10.75,1628379,Los Angeles Clippers,-1.32,0.44,-1.76,-0.31,0.78,-1.09,16.115,0.523,10.096,0.396,0.646,1.583,0.83,0.102,0.159,5.438,3.023,0.088,0.152,0.002,1.401
142,192,13,13,DEN,Donovan Mitchell,Louisville,4,278,9371,6501,1151,1184,0.439,0.362,0.829,33.7,23.4,4.1,4.3,21.8,0.112,1.8,9.1,,,,9.44,1628378,Utah Jazz,3.06,4.1,-1.04,3.63,5,-1.37,30.897,0.499,15.448,0.355,0.483,10.011,0.85,0.311,0.337,6.136,7.908,0.266,0.342,0.004,3.921
143,193,14,14,MIA,Bam Adebayo,Kentucky,4,287,7841,3549,2286,999,0.559,0.159,0.738,27.3,12.4,8,3.5,28.3,0.173,2.7,9.4,,,,10.49,1628389,Miami Heat,1.95,0.89,1.05,2.32,1.05,1.27,18.573,0.561,1.094,0.248,0.061,7.768,0.757,0.413,0.236,13.213,8.104,0.247,1.52,0.016,3.703
144,197,18,18,IND,TJ Leaf,UCLA,4,146,1238,477,283,43,0.492,0.341,0.585,8.5,3.3,1.9,0.3,2.7,0.104,-1.8,0.1,,,,6.39,1628388,Portland Trail Blazers,-1.89,-0.94,-0.94,-2,-0.87,-1.13,17.548,0.527,1.586,0.277,0.108,4.648,0.649,0.226,0.193,12.197,1.755,0.059,1.187,0.013,1.902
145,198,19,19,ATL,John Collins,Wake Forest,4,239,6825,3961,2019,357,0.567,0.38,0.777,28.6,16.6,8.4,1.5,23.1,0.162,1.4,5.8,,,,10.16,1628381,Atlanta Hawks,1.22,0.59,0.63,1.56,0.62,0.94,17.252,0.611,5.232,0.363,0.295,4.44,0.807,0.233,0.186,13.136,1.538,0.043,1.31,0.015,1.923
146,201,22,22,BRK,Jarrett Allen,Texas,4,285,7253,3041,2362,375,0.611,0.2,0.696,25.4,10.7,8.3,1.3,26.5,0.175,1.2,5.8,,,,12.75,1628386,Cleveland Cavaliers,-0.07,-0.98,0.91,0.65,-0.53,1.18,13.533,0.63,1.04,0.267,0.061,7.132,0.69,0.526,0.181,16.343,2.797,0.093,1.925,0.02,2.361
147,202,23,23,TOR,OG Anunoby,Indiana,4,253,6332,2322,982,304,0.48,0.375,0.692,25,9.2,3.9,1.2,13.8,0.105,0,3.1,,,,7.53,1628384,Toronto Raptors,1.49,0.49,1,1.73,0.55,1.18,21.811,0.53,10.613,0.356,0.497,5.103,0.758,0.229,0.24,8.429,3.898,0.131,1.101,0.013,2.863
148,206,27,27,BRK,Kyle Kuzma,Utah,4,276,8195,4206,1555,526,0.448,0.338,0.727,29.7,15.2,5.6,1.9,12.2,0.072,-1.2,1.5,,,,6.84,1628398,Los Angeles Lakers,-1.31,-1.2,-0.11,-1.78,-0.76,-1.02,18.681,0.512,9.31,0.344,0.497,3.446,0.716,0.205,0.197,9.143,3.184,0.103,0.883,0.011,2.496
149,207,28,28,LAL,Tony Bradley,UNC,4,112,1412,610,532,62,0.649,0.429,0.676,12.6,5.4,4.8,0.6,6.1,0.208,0.9,1,,,,11.76,1628396,Oklahoma City Thunder,0.01,-0.22,0.24,0.29,-0.1,0.39,15.104,0.623,1.021,0.231,0.054,4.526,0.681,0.332,0.189,16.544,2.161,0.077,1.991,0.023,2.721
150,208,29,29,SAS,Derrick White,Colorado,4,188,4608,2035,603,640,0.452,0.357,0.825,24.5,10.8,3.2,3.4,10.2,0.106,1.1,3.6,,,,6,1628401,San Antonio Spurs,1.61,0.95,0.66,1.42,1.06,0.36,22.549,0.472,12.148,0.351,0.525,7.186,0.809,0.328,0.247,5.71,5.879,0.193,1.485,0.017,2.739
151,209,30,30,UTA,Josh Hart,Villanova,4,242,6280,2111,1313,390,0.432,0.348,0.728,26,8.7,5.4,1.6,11.4,0.087,-0.8,1.9,,,,8.51,1628404,New Orleans Pelicans,-0.85,-0.39,-0.46,-0.65,-0.75,0.1,14.401,0.562,7.902,0.339,0.547,4.166,0.743,0.243,0.173,13.44,3.951,0.127,0.596,0.007,2.063
152,210,31,31,CHO,Frank Jackson,Duke,3,160,2704,1256,303,166,0.431,0.348,0.767,16.9,7.9,1.9,1,1.8,0.031,-4.2,-1.5,,,,10.91,1628402,Detroit Pistons,-1.51,-0.61,-0.9,-1.42,-0.34,-1.08,21.508,0.472,10.15,0.366,0.491,5.201,0.816,0.245,0.223,5.488,2.572,0.097,0.197,0.002,2.326
153,216,37,37,BOS,Semi Ojeleye,SMU,4,254,3705,877,539,117,0.394,0.349,0.701,14.6,3.5,2.1,0.5,5,0.064,-3.3,-1.2,,,,,1628400,Boston Celtics,-2.01,-1.73,-0.28,-1.4,-1.19,-0.21,12.774,0.492,8.417,0.327,0.682,2.312,0.745,0.217,0.129,7.756,1.928,0.059,0.272,0.003,0.932
154,217,38,38,CHI,Jordan Bell,Oregon,4,160,1935,593,496,201,0.552,0.2,0.636,12.1,3.7,3.1,1.3,4.9,0.121,0.2,1.1,,,,8.23,1628395,Golden State Warriors,-1.89,-2.14,0.26,-1.73,-2.38,0.65,12.985,0.488,2.007,0.271,0.131,3.611,0.606,0.267,0.163,13.542,3.71,0.104,2.49,0.028,2.508
155,219,40,40,NOP,Dwayne Bacon,Florida State,4,207,4012,1503,537,230,0.402,0.314,0.78,19.4,7.3,2.6,1.1,0.8,0.01,-5,-3.1,,,,8.52,1628407,Orlando Magic,-3.57,-2.15,-1.42,-3.83,-1.83,-2,20.761,0.459,5.224,0.294,0.25,5.684,0.809,0.276,0.218,6.043,2.964,0.097,0.263,0.003,1.559
156,221,42,42,UTA,Thomas Bryant,Indiana,4,143,2986,1532,863,196,0.6,0.362,0.748,20.9,10.7,6,1.4,10.5,0.169,1.8,2.8,,,,7.53,1628418,Washington Wizards,0.41,0.19,0.23,1.6,0.42,1.18,18.164,0.615,5.205,0.344,0.291,5.089,0.715,0.284,0.195,12.583,2.775,0.092,1.889,0.021,1.918
157,223,44,44,NYK,Damyean Dotson,Oregon,4,211,4221,1590,530,314,0.417,0.346,0.711,20,7.5,2.5,1.5,3,0.034,-2.8,-0.9,,,,,1628422,Cleveland Cavaliers,-2.6,-1.87,-0.73,-2.39,-1.28,-1.11,15.388,0.471,8.933,0.338,0.585,1.938,0.749,0.117,0.152,5.529,4.056,0.136,0.312,0.004,1.332
